HOLEID,X,Y,Z,Ag ppm,Al ppm,Au ppm,C ppm,Ca ppm,Cl ppm,Cu ppm,F ppm,Fe ppm,K ppm,Mg ppm,Mn ppm,Na ppm,P ppm,Pb ppm,S ppm,Th ppm,U ppm
4,-456.03482500009704,483.7196800019592,15.37,2.5,20900.0,0.31,1600.0,7300.0,2719.03,15400.0,1119.03,392600.0,2700.0,16100.000000000002,8878.48,1600.0,2110.61,25.54,5800.0,4.08,41.01
4,-458.9948250000598,477.9196800030768,0.07,2.77,50900.0,0.33,1400.0000000000002,5500.0,2913.26,15700.0,1216.54,260700.0,10900.0,15400.0,13298.42,1400.0000000000002,1103.68,11.02,5900.0,5.59,18.88
4,-463.55482500011567,469.2196800019592,-22.92,0.5,64000.0,0.08,700.0000000000001,6200.0,2753.58,2200.0,1377.02,240400.0,15200.0,24100.0,9776.36,1400.0000000000002,1546.26,3.22,800.0,3.58,5.72
4,-468.0848250000272,460.44968000240624,-45.89,0.81,68700.0,0.46,500.0,5100.0,3241.52,2000.0,1554.62,193600.0,20700.0,20299.999999999996,4661.66,4500.0,939.8,4.38,700.0000000000001,4.92,7.68
4,-472.174825000111,452.38968000374734,-66.63,1.78,51900.00000000001,0.11,1000.0,14000.0,1730.52,6000.0,1215.23,211600.0,9000.0,45500.0,5320.1,2700.0,587.8,2.79,1900.0,1.7,4.24
4,-476.3248250001343,444.2496800031513,-87.33,0.31,64100.0,0.08,700.0000000000001,6000.0,2367.6,1400.0000000000002,1063.52,178700.0,15500.0,28600.0,2910.8,13600.000000000002,228.88,2.91,500.0,4.76,3.74
4,-479.2548250000691,438.4996800031513,-101.91,0.71,56700.0,0.1,1400.0000000000002,7800.0,2992.32,2700.0,1188.12,189100.0,18500.0,25700.0,2554.93,12800.0,341.3,3.89,900.0,3.99,5.88
4,-481.4348250001203,434.2096800021827,-112.66,0.47,64000.0,0.08,400.0,4100.0,1416.49,1800.0,1441.32,182500.0,16700.0,15000.0,3193.15,3300.0,1206.79,4.72,600.0,13.86,6.29
5,198.81517499987967,-524.7803199980408,324.65,1.99,55199.99999999999,0.33,1000.0,2400.0,1552.55,5100.0,1081.15,278400.0,9600.0,8900.0,3573.57,100.0,386.5,7.92,2000.0,4.87,10.43
5,200.56517499987967,-520.2403199970722,311.15,3.7,49400.00000000001,0.53,1700.0000000000002,5699.999999999999,1072.57,17200.0,1750.55,324600.0,8600.0,7000.0,3662.84,100.0,1566.79,27.35,9000.0,7.58,86.4
5,202.4251749998657,-515.4403199963272,296.82,1.15,58200.0,0.19,1000.0,2800.0000000000005,1903.6,3900.0,1200.4,252800.0,11600.0,7800.0,4322.0,400.0,360.0,5.0,1300.0,4.95,8.92
5,204.6751749998657,-509.6703199967742,279.67,1.1,55000.0,0.27,1400.0000000000002,3200.0,1223.99,4700.0,658.12,282400.0,9500.0,6899.999999999999,3967.62,2400.0,418.88,9.63,2300.0,15.1,16.95
